gmd,channel,bunch,aligned_trains,sample_n,finite_n,finite_fraction,min,p01,median,p99,max
hall,3,19,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,20,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,21,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,22,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,23,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,24,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,25,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,26,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,27,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,28,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,29,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,4,0,4330,4330,4330,1.0,0.04735283553600311,0.05569702722132206,0.07031092047691345,0.09722155645489694,0.11202458292245865
hall,4,1,4330,4330,4330,1.0,0.05310025438666344,0.05596863523125648,0.06990178674459457,0.09790606237947941,0.32402005791664124
hall,4,2,4330,4330,4330,1.0,0.04886174574494362,0.055429000258445736,0.0698978379368782,0.0978465694189072,0.11438120901584625
hall,4,3,4330,4330,4330,1.0,0.05023212358355522,0.055968496948480606,0.06975129246711731,0.09722182013094427,0.11092112958431244
hall,4,4,4330,4330,4330,1.0,0.04615795612335205,0.05498532500118017,0.07037189602851868,0.09768627688288689,0.1717367023229599
hall,4,5,4330,4330,4330,1.0,0.05023212358355522,0.0549846151843667,0.06960233300924301,0.0973441594094038,0.11341652274131775
hall,4,6,4330,4330,4330,1.0,0.0487770177423954,0.054816681891679764,0.07031092047691345,0.0975116539746523,0.11712200939655304
hall,4,7,4330,4330,4330,1.0,0.051826171576976776,0.055969446897506714,0.07031212002038956,0.0977125757932663,0.12123686075210571
